#x-axis	2
#second	Volt
+448.000E-03	-183.327E-03
+449.000E-03	-183.327E-03
+450.000E-03	-128.653E-03
+451.000E-03	-128.653E-03
+452.000E-03	-183.327E-03
+453.000E-03	-238.000E-03
+454.000E-03	-183.327E-03
+455.000E-03	-73.980E-03
+456.000E-03	+90.040E-03
+457.000E-03	+746.121E-03
+458.000E-03	+2.714362E+00
+459.000E-03	+2.437578E+00
+460.000E-03	+688.030E-03
+461.000E-03	+141.296E-03
+462.000E-03	-22.724E-03
+463.000E-03	-132.070E-03
+464.000E-03	-186.744E-03
+465.000E-03	-183.327E-03
+466.000E-03	-128.653E-03
+467.000E-03	-128.653E-03
+468.000E-03	-183.327E-03
+469.000E-03	-186.744E-03
+470.000E-03	-183.327E-03
+471.000E-03	-73.980E-03
+472.000E-03	+199.387E-03
+473.000E-03	+1.019487E+00
+474.000E-03	+3.151749E+00
+475.000E-03	+1.945518E+00
+476.000E-03	+524.010E-03
+477.000E-03	+35.367E-03
+478.000E-03	-128.653E-03
+479.000E-03	-238.000E-03
+480.000E-03	-238.000E-03
+481.000E-03	-183.327E-03
+482.000E-03	-77.397E-03
+483.000E-03	-128.653E-03
+484.000E-03	-183.327E-03
+485.000E-03	-186.744E-03
+486.000E-03	-132.070E-03
+487.000E-03	-73.980E-03
+488.000E-03	+199.387E-03
+489.000E-03	+1.238181E+00
+490.000E-03	+3.206422E+00
+491.000E-03	+1.456874E+00
+492.000E-03	+469.337E-03
+493.000E-03	+35.367E-03
+494.000E-03	-128.653E-03
+495.000E-03	-186.744E-03
+496.000E-03	-186.744E-03
+497.000E-03	-128.653E-03
+498.000E-03	-73.980E-03
+499.000E-03	-128.653E-03
+500.000E-03	-183.327E-03
+501.000E-03	-183.327E-03
+502.000E-03	-128.653E-03
+503.000E-03	-19.307E-03
+504.000E-03	+363.407E-03
+505.000E-03	+1.730241E+00
+506.000E-03	+3.093658E+00
+507.000E-03	+1.180090E+00
+508.000E-03	+254.060E-03
+509.000E-03	-19.307E-03
+510.000E-03	-183.327E-03
+511.000E-03	-238.000E-03
+512.000E-03	-183.327E-03
+513.000E-03	-128.653E-03
+514.000E-03	-73.980E-03
+515.000E-03	-183.327E-03
+516.000E-03	-238.000E-03
+517.000E-03	-183.327E-03
+518.000E-03	-128.653E-03
+519.000E-03	+86.623E-03
+520.000E-03	+472.754E-03
+521.000E-03	+2.112955E+00
+522.000E-03	+2.765618E+00
+523.000E-03	+906.724E-03
+524.000E-03	+199.387E-03
+525.000E-03	-73.980E-03
+526.000E-03	-183.327E-03
+527.000E-03	-183.327E-03
+528.000E-03	-183.327E-03
+529.000E-03	-128.653E-03
+530.000E-03	-77.397E-03
+531.000E-03	-132.070E-03
+532.000E-03	-183.327E-03
+533.000E-03	-183.327E-03
+534.000E-03	-73.980E-03
+535.000E-03	+144.714E-03
+536.000E-03	+746.121E-03
+537.000E-03	+2.659688E+00
+538.000E-03	+2.273558E+00
+539.000E-03	+636.774E-03
+540.000E-03	+90.040E-03
+541.000E-03	-77.397E-03
+542.000E-03	-183.327E-03
+543.000E-03	-186.744E-03
+544.000E-03	-183.327E-03
+545.000E-03	-73.980E-03
+546.000E-03	-128.653E-03
+547.000E-03	-183.327E-03
+548.000E-03	-238.000E-03
+549.000E-03	-238.000E-03
+550.000E-03	-73.980E-03
+551.000E-03	+199.387E-03
+552.000E-03	+910.141E-03
+553.000E-03	+2.933055E+00
+554.000E-03	+1.836171E+00
+555.000E-03	+524.010E-03
+556.000E-03	+35.367E-03
+557.000E-03	-128.653E-03
+558.000E-03	-183.327E-03
+559.000E-03	-238.000E-03
+560.000E-03	-183.327E-03
+561.000E-03	-73.980E-03
+562.000E-03	-128.653E-03
+563.000E-03	-186.744E-03
+564.000E-03	-238.000E-03
+565.000E-03	-128.653E-03
+566.000E-03	-19.307E-03
+567.000E-03	+254.060E-03
+568.000E-03	+1.238181E+00
+569.000E-03	+3.042402E+00
+570.000E-03	+1.453457E+00
+571.000E-03	+308.734E-03
+572.000E-03	+31.950E-03
+573.000E-03	-128.653E-03
