#x-axis,1,2
#second,Volt,Volt
-2.4055000E-03,+255.8140531E-03,-2.6306532114E+00
-2.4052500E-03,+255.8140531E-03,-2.7160803461E+00
-2.4050000E-03,+255.8140531E-03,-2.6155778347E+00
-2.4047500E-03,+255.8140531E-03,-2.6105527091E+00
-2.4045000E-03,+255.8140531E-03,-2.6457285881E+00
-2.4042500E-03,+262.8492289E-03,-2.5653265789E+00
-2.4040000E-03,+255.8140531E-03,-2.5653265789E+00
-2.4037500E-03,+250.7889275E-03,-2.5653265789E+00
-2.4035000E-03,+247.7738522E-03,-2.6306532114E+00
-2.4032500E-03,+255.8140531E-03,-2.6457285881E+00
-2.4030000E-03,+258.3266159E-03,-2.6155778347E+00
-2.4027500E-03,+258.8291285E-03,-2.6105527091E+00
-2.4025000E-03,+255.8140531E-03,-2.5753768301E+00
-2.4022500E-03,+255.8140531E-03,-2.6457285881E+00
-2.4020000E-03,+255.8140531E-03,-2.6457285881E+00
-2.4017500E-03,+250.7889275E-03,-2.6457285881E+00
-2.4015000E-03,+254.3065154E-03,-2.6457285881E+00
-2.4012500E-03,+255.8140531E-03,-2.5703517045E+00
-2.4010000E-03,+255.8140531E-03,-2.6457285881E+00
-2.4007500E-03,+255.8140531E-03,-2.6457285881E+00
-2.4005000E-03,+255.8140531E-03,-2.6457285881E+00
-2.4002500E-03,+255.8140531E-03,-2.6356783370E+00
-2.4000000E-03,+255.8140531E-03,-2.5904522068E+00
-2.3997500E-03,+255.8140531E-03,-2.5954773324E+00
-2.3995000E-03,+248.7788773E-03,-2.6959798438E+00
-2.3992500E-03,+248.2763648E-03,-2.6356783370E+00
-2.3990000E-03,+252.7989778E-03,-2.5904522068E+00
-2.3987500E-03,+252.2964652E-03,-2.6457285881E+00
-2.3985000E-03,+255.8140531E-03,-2.5753768301E+00
-2.3982500E-03,+255.8140531E-03,-2.6457285881E+00
-2.3980000E-03,+255.8140531E-03,-2.6155778347E+00
-2.3977500E-03,+255.8140531E-03,-2.5653265789E+00
-2.3975000E-03,+242.2462141E-03,-2.6306532114E+00
-2.3972500E-03,+254.8090280E-03,-2.5703517045E+00
-2.3970000E-03,+244.7587769E-03,-2.6457285881E+00
-2.3967500E-03,+244.2562643E-03,-2.5954773324E+00
-2.3965000E-03,+247.7738522E-03,-2.6306532114E+00
-2.3962500E-03,+255.8140531E-03,-2.5653265789E+00
-2.3960000E-03,+252.7989778E-03,-2.5653265789E+00
-2.3957500E-03,+242.7487266E-03,-2.6105527091E+00
-2.3955000E-03,+252.7989778E-03,-2.5753768301E+00
-2.3952500E-03,+247.7738522E-03,-2.5703517045E+00
-2.3950000E-03,+247.7738522E-03,-2.6457285881E+00
-2.3947500E-03,+247.7738522E-03,-2.5954773324E+00
-2.3945000E-03,+247.7738522E-03,-2.5653265789E+00
-2.3942500E-03,+247.7738522E-03,-2.5703517045E+00
-2.3940000E-03,+247.7738522E-03,-2.6457285881E+00
-2.3937500E-03,+247.7738522E-03,-2.5954773324E+00
-2.3935000E-03,+254.3065154E-03,-2.5653265789E+00
-2.3932500E-03,+247.7738522E-03,-2.5703517045E+00
-2.3930000E-03,+244.7587769E-03,-2.6155778347E+00
-2.3927500E-03,+244.2562643E-03,-2.6105527091E+00
-2.3925000E-03,+240.7386764E-03,-2.6457285881E+00
-2.3922500E-03,+239.7336513E-03,-2.6356783370E+00
-2.3920000E-03,+242.2462141E-03,-2.5653265789E+00
-2.3917500E-03,+247.7738522E-03,-2.5653265789E+00
-2.3915000E-03,+247.7738522E-03,-2.5653265789E+00
-2.3912500E-03,+240.2361638E-03,-2.5653265789E+00
-2.3910000E-03,+247.7738522E-03,-2.5653265789E+00
-2.3907500E-03,+242.7487266E-03,-2.5653265789E+00
-2.3905000E-03,+232.6984755E-03,-2.5653265789E+00
-2.3902500E-03,+246.7688271E-03,-2.5653265789E+00
-2.3900000E-03,+239.7336513E-03,-2.5653265789E+00
-2.3897500E-03,+244.2562643E-03,-2.5150753232E+00
-2.3895000E-03,+247.7738522E-03,-2.4849245697E+00
-2.3892500E-03,+239.7336513E-03,-2.5552763278E+00
-2.3890000E-03,+239.7336513E-03,-2.5100501976E+00
-2.3887500E-03,+244.2562643E-03,-2.5653265789E+00
-2.3885000E-03,+234.2060131E-03,-2.5653265789E+00
-2.3882500E-03,+239.7336513E-03,-2.5653265789E+00
-2.3880000E-03,+236.7185759E-03,-2.5653265789E+00
-2.3877500E-03,+231.6934504E-03,-2.5653265789E+00
-2.3875000E-03,+238.2261136E-03,-2.5653265789E+00
